Cycle#,ChargeOhms,DischargeOhms,MaxV,MinV,MaxOCV,MinOCV,CoulombicEff,EnergyEff,ChargeCapacity(AHrs),DischargeCapacity(AHrs),ChargeEnergy(WHrs),DischargeEnergy(WHrs)
1,0.152688580467,0.138365810872,1.02066,0.950538,1.32617,1.22739,0,0,0.0,1.0000533927,0.0,0.982044839491
2,0.1385822909,0.134857337058,1.69205,0.965478,1.4152,1.23531,0.952418507848,0.599341665493,1.05000490174,1.00004410174,1.71898362109,1.03025850642
3,0.138121768207,0.13239673799,1.70028,0.974015,1.42435,1.23897,0.964159410449,0.611524435476,1.03720864061,1.00003447144,1.69954829762,1.03931531327
4,0.137535171074,0.132702551444,1.70028,0.967613,1.42557,1.23318,1.00427733914,0.638363657805,0.995773968778,1.00003323175,1.62995592311,1.04050462514
5,0.137384974316,0.133030131893,1.70028,0.962124,1.42587,1.2283,1.01144411483,0.643557071898,0.988699344217,1.00001413305,1.61661799679,1.04038594439
6,0.136618970852,0.13242289604,1.70028,0.962429,1.4274,1.22739,0.99670162015,0.635812433321,1.00331612526,1.00000680757,1.63929182818,1.0422821262
7,0.136900381933,0.132572331036,1.70028,0.95938,1.42679,1.22464,1.00573651667,0.641746437329,0.994344077506,1.00004814888,1.62423469625,1.04234682971
8,0.136774174168,0.132724264945,1.70028,0.956636,1.42709,1.2222,1.00455877107,0.641150330831,0.995464537377,1.00000263231,1.62535256734,1.04209533627
9,0.136618970852,0.132852959695,1.70028,0.955112,1.4274,1.22098,1.00089288081,0.639012021857,0.999149325854,1.00004144711,1.63106843586,1.04227233899
10,0.135984342228,0.130872667673,1.70028,0.960905,1.42862,1.22281,0.990979452571,0.636061799313,1.00918001032,1.00007665417,1.64601311017,1.04696606055
11,0.134481170333,0.128765487013,1.70028,0.969137,1.43167,1.22678,0.979124293232,0.632786236605,1.02133690459,1.00001577486,1.66340946522,1.05258261543
12,0.133414773353,0.127547017048,1.70028,0.974015,1.4338,1.22922,0.982581914285,0.637740173807,1.01786428086,1.00013503357,1.65603634975,1.05612090952
13,0.132827913591,0.126477482295,1.70028,0.975845,1.43502,1.22891,0.988987418824,0.643616273323,1.01117401964,1.00003838366,1.64384558081,1.05800576664
14,0.13203796974,0.126065414767,1.70028,0.977369,1.43655,1.22952,0.989928587003,0.64576329613,1.01017517058,1.00000127924,1.6409747517,1.05968126452
15,0.131709490271,0.125736437209,1.70028,0.980113,1.43716,1.23165,0.987861306657,0.645621550184,1.01236054776,1.00007181352,1.64356553897,1.0611213311
16,0.131559319828,0.125104579508,1.70028,0.985602,1.43746,1.23592,0.977065045597,0.640197473928,1.02349447512,1.000020676,1.66142505667,1.0636401244
17,0.13125397326,0.124670209097,1.70028,0.987736,1.43807,1.23714,0.984247484443,0.645883379479,1.01601927144,1.00001441206,1.64930976874,1.06526176724
18,0.130793450566,0.124323662566,1.70028,0.988651,1.43899,1.23745,0.987038727682,0.648484080453,1.01313641568,1.0000048787,1.64419472173,1.0662341022
19,0.13062039558,0.123886109542,1.70028,0.99048,1.43929,1.23836,0.986376123146,0.6489124091,1.01385933006,1.0000466354,1.64475762407,1.06730363222
20,0.130315102498,0.123605980475,1.70028,0.991395,1.4399,1.23867,0.986338984969,0.649579008057,1.01394920811,1.00009763273,1.64443504598,1.06819048598
21,0.129882416543,0.123732676286,1.70028,0.984687,1.44081,1.23226,1.0062907328,0.661576764865,0.99375700648,1.00000846628,1.61091300383,1.06574261355
22,0.130159953555,0.12360498073,1.70028,0.984077,1.44021,1.23135,1.00278635173,0.659854013992,0.997260142714,1.00003886024,1.61552158587,1.06600840313
23,0.129577069974,0.122843674863,1.70028,0.99109,1.44142,1.23684,0.973148247644,0.642806495427,1.02759604457,1.00000329006,1.66371022734,1.06944374064
24,0.129399223254,0.122819073703,1.70028,0.990785,1.44173,1.23653,0.989212897351,0.653422881352,1.01093741175,1.00003232612,1.63720958495,1.06979020437
25,0.129399223254,0.122688714378,1.70028,0.98926,1.44173,1.2347,0.995573303335,0.657524787802,1.00448272166,1.00003618135,1.6261987141,1.06926596441
26,0.129116547281,0.122383792133,1.70028,0.98926,1.44234,1.23409,0.991850425036,0.655540775124,1.00823118497,1.00001452934,1.63169762319,1.06964432468
27,0.129116547281,0.122385791623,1.70028,0.988346,1.44234,1.23318,0.993238332123,0.656721169584,1.00690305368,1.00009470965,1.62901153148,1.06980635822
28,0.128811200713,0.122208839155,1.70028,0.988346,1.44295,1.23287,0.992166922912,0.656394390099,1.007899899,1.0000049414,1.63011231516,1.0699965789
29,0.128638492953,0.121775947133,1.70028,0.988346,1.44325,1.23196,0.993344128468,0.657596666606,1.00670384889,1.0000033574,1.62754388892,1.07026743611
30,0.128505854144,0.121928408256,1.70028,0.988041,1.44356,1.23196,0.993000305576,0.657557584348,1.00707406419,1.00002485348,1.62783534692,1.07039547844
31,0.128333199872,0.121794756419,1.70028,0.988041,1.44386,1.23165,0.992988848279,0.657799691746,1.00709552035,1.00003462086,1.62756508251,1.07061180957
32,0.128333199872,0.121644768419,1.70028,0.988041,1.44386,1.23135,0.993676246842,0.658646268381,1.00651253694,1.00014760011,1.62619339475,1.07108621112
33,0.128027906791,0.121297235702,1.70028,0.99048,1.44447,1.23318,0.986839305159,0.655082588904,1.01337548204,1.00003875656,1.63680350924,1.07224148036
34,0.127895161008,0.121320563256,1.70028,0.984077,1.44478,1.22678,1.00534461636,0.666142771049,0.994866872404,1.00018405417,1.60612292985,1.06990717913
35,0.128027906791,0.121168102134,1.70028,0.984992,1.44447,1.22739,0.994468195112,0.659582261045,1.00558878528,1.00002606432,1.62312810717,1.07058650689
36,0.128027906791,0.120970208173,1.70028,0.985602,1.44447,1.22769,0.993547829602,0.659746416584,1.00651423996,1.00002003858,1.62387901684,1.07134836232
37,0.127567464766,0.120556258154,1.70028,0.988346,1.44539,1.22952,0.989099679005,0.657693110699,1.01103335902,1.00001277087,1.63085440176,1.07260170459
38,0.127417320628,0.120406796267,1.70028,0.989565,1.44569,1.23044,0.990564122162,0.659098235667,1.00954147965,1.00001556958,1.62832386958,1.07322538953
39,0.127112027546,0.120097375169,1.70028,0.992004,1.4463,1.23226,0.98744859524,0.657848377007,1.01276349769,1.00005189311,1.63343431338,1.07455211201
40,0.127112027546,0.11994741341,1.70028,0.993224,1.4463,1.23318,0.988416649722,0.659017336727,1.01174038199,1.00002103876,1.63153954388,1.07521284497
41,0.126783891435,0.119944914047,1.70028,0.992309,1.44691,1.23226,0.991901323412,0.661198910194,1.00817621658,1.00001132346,1.62589912522,1.07504272968
42,0.126806734465,0.119796951777,1.70028,0.990785,1.44691,1.23044,0.996617673784,0.664385891263,1.00366312518,1.00026840908,1.61797400263,1.07495909978
43,0.126651585522,0.119318096628,1.70028,0.99048,1.44722,1.22922,0.994214926282,0.663205541421,1.00586247458,1.00004348601,1.62067755563,1.07484233575
44,0.126523604291,0.119337069047,1.70028,0.989565,1.44752,1.2283,0.99467550944,0.663635151958,1.00538844184,1.00003526057,1.61946920083,1.07473668919
45,0.126368428166,0.119335069557,1.70028,0.992919,1.44783,1.23165,0.986158765911,0.658876125427,1.01411330352,1.0000767239,1.63325688843,1.07611397048
46,0.126523604291,0.119185107798,1.70028,0.992309,1.44752,1.23074,0.993652975328,0.663775220891,1.0063916146,1.0000040222,1.62100590677,1.07598355383
47,0.126218257723,0.11933756892,1.70028,0.992004,1.44813,1.23074,0.992090710393,0.663124489089,1.00799086116,1.00001836951,1.6230473928,1.07628247312
48,0.126218257723,0.119055975522,1.70028,0.992309,1.44813,1.23044,0.992271712277,0.66337035343,1.00784006399,1.000051186,1.62258592325,1.07637539737
49,0.126196148302,0.11887968568,1.70028,0.99048,1.44813,1.2283,0.995264057202,0.665126971555,1.00485912699,1.00010017165,1.6174571834,1.07581439801
50,0.126368428166,0.119184108052,1.70028,0.986211,1.44783,1.22464,1.00224046429,0.668903758391,0.997810968775,1.00004652861,1.60564989828,1.07402525162
51,0.126390571649,0.119317097063,1.70028,0.984382,1.44783,1.22312,0.998752685076,0.666185954324,1.00129026219,1.0000413379,1.61099685464,1.07322347702
52,0.126368428166,0.119293730824,1.70028,0.983467,1.44783,1.2222,0.996966628844,0.664838788389,1.00304380072,1.00000119659,1.61348234174,1.07270564517
53,0.126390571649,0.119466532059,1.70028,0.981943,1.44783,1.22098,0.998588321024,0.665676470533,1.00142879723,1.00001510125,1.61066051858,1.07217880923
54,0.126545774965,0.119469030972,1.70028,0.980418,1.44752,1.21946,0.99834850218,0.665235886422,1.00167109407,1.00001683644,1.61083749161,1.07158690661
55,0.126390571649,0.119618465967,1.70028,0.979809,1.44783,1.21915,0.997490778952,0.664626984857,1.00254378083,1.00002817687,1.61201818036,1.07139078275
56,0.126368428166,0.119162164458,1.70028,0.983162,1.44783,1.22159,0.991843296612,0.661966317305,1.00832198199,1.00009739866,1.6210853765,1.07310391671
57,0.125912911154,0.118860295771,1.70028,0.985906,1.44874,1.22373,0.988994917919,0.661165749623,1.01116372358,1.00003578381,1.62533083489,1.07461307984
58,0.125735706278,0.118576762925,1.70028,0.988346,1.44905,1.22556,0.990067064194,0.662498531448,1.01005293789,1.0000201469,1.62362870016,1.07565162947
59,0.125607564586,0.118595012399,1.70028,0.988651,1.44935,1.22586,0.991283307188,0.663619856465,1.00885865069,1.00006473974,1.62157856612,1.07611173529
60,0.125607564586,0.118422302313,1.70028,0.989565,1.44935,1.22647,0.992599652556,0.66485443569,1.00749783851,1.00004200445,1.6192911234,1.07659288607
61,0.125607564586,0.118424801676,1.70028,0.98987,1.44935,1.22678,0.9913582991,0.664214806738,1.0087705635,1.00005307002,1.62117202697,1.07680646459
62,0.125452388461,0.118096128184,1.70028,0.989565,1.44966,1.22586,0.994186614688,0.666237121543,1.00588032838,1.00003275846,1.61636662705,1.07688344896
63,0.125452388461,0.118117380068,1.70028,0.988955,1.44966,1.22525,0.994220825005,0.666208527566,1.00586371622,1.00005065379,1.61624410069,1.07675560251
64,0.125452388461,0.117661996191,1.70028,0.988346,1.44966,1.22373,0.99891530125,0.669514878446,1.00110328901,1.00001739352,1.60810421113,1.07664969545
65,0.125125120115,0.117814957186,1.70028,0.99109,1.45027,1.22678,0.985030990906,0.661291878922,1.01530011014,1.00010207355,1.63017637654,1.07802239901
66,0.125147041893,0.117812457823,1.70028,0.990785,1.45027,1.22647,0.993079316545,0.66647211972,1.00700395839,1.00003480276,1.61738478033,1.07794186295
67,0.124996871449,0.117507535578,1.70028,0.990785,1.45057,1.22586,0.992863234063,0.666558377147,1.00719790882,1.00000977309,1.61735797582,1.07806350763
68,0.124974975977,0.117641326023,1.70028,0.989565,1.45057,1.22495,0.995538573298,0.66818726545,1.00453482529,1.00005316679,1.6128221274,1.07766720696
69,0.124863571278,0.117488892332,1.70028,0.98926,1.45088,1.22434,0.994446702506,0.66756615092,1.00560217758,1.00001776953,1.61425197064,1.07761997466
70,0.124996871449,0.117333459945,1.70028,0.988651,1.45057,1.22342,0.995611785878,0.668319862862,1.00441371174,1.0000061293,1.61202453373,1.07734801531
71,0.124841695324,0.117333459945,1.70028,0.988041,1.45088,1.22281,0.995194322727,0.668121740742,1.00488114992,1.00005201541,1.61247857941,1.07733199539
72,0.124691524881,0.117181026254,1.70028,0.988346,1.45118,1.22281,0.993927379961,0.667648943104,1.00620611135,1.00009580395,1.61428463449,1.07777543009
73,0.124691524881,0.117183525167,1.70028,0.988041,1.45118,1.22251,0.994084390592,0.667703349168,1.00597306441,1.00002212068,1.61375495203,1.07750958621
74,0.124691524881,0.117204612824,1.70028,0.988041,1.45118,1.22251,0.994723136696,0.66818402756,1.00533347299,1.00002846568,1.61269387813,1.07757629071
75,0.124713374521,0.117204612824,1.70028,0.988041,1.45118,1.22251,0.993789940457,0.667735210945,1.00627505024,1.00002602226,1.61402399844,1.07774065507
76,0.124558171204,0.117028592562,1.70028,0.988041,1.45149,1.2222,0.994607481407,0.668354920382,1.00547157742,1.00004955324,1.61255696601,1.07776038263
77,0.124386178312,0.116878657784,1.70028,0.988651,1.45179,1.22251,0.993281261519,0.667693569251,1.006812302,1.00004779344,1.61458453013,1.07804770778
78,0.124536348756,0.116876158871,1.70028,0.988346,1.45149,1.2222,0.994793181115,0.668787941372,1.0056243472,1.00038824335,1.61252703402,1.07843863549
79,0.124386178312,0.116899690579,1.70028,0.988651,1.45179,1.22251,0.993544517401,0.668135132889,1.0065322,1.00003454889,1.61385152253,1.07827090147
80,0.124364389814,0.116747729329,1.70028,0.989565,1.45179,1.22312,0.991952231089,0.667374507867,1.008210505,1.00009665984,1.61642785815,1.07876274634
81,0.124386178312,0.116879157566,1.70028,0.98926,1.45179,1.22312,0.993019178332,0.668137664898,1.00705304321,1.0000229855,1.61465211185,1.07880989164
82,0.127306771871,0.119313598585,1.70028,0.964259,1.446,1.20299,1.16380138725,0.771868163005,0.859273760598,1.00002399461,1.37740532452,1.06317531755
83,0.126240374891,0.118553929041,1.70028,0.979199,1.44813,1.21641,0.971824826344,0.650501579374,1.02899610993,1.00000396584,1.64864797342,1.07244811054
84,0.125452388461,0.118118879686,1.70028,0.983772,1.44966,1.22007,0.983744378798,0.659428909161,1.01661894413,1.00009317167,1.63007300331,1.07491726242
