Cycle#,ChargeOhms,DischargeOhms,MaxV,MinV,MaxOCV,MinOCV,CoulombicEff,EnergyEff,ChargeCapacity(AHrs),DischargeCapacity(AHrs),ChargeEnergy(WHrs),DischargeEnergy(WHrs)
1,0.159067547431,0.143475572047,1.24544,1.15889,1.32529,1.23081,0,0,0.0,1.00000033855,0.0,1.18825139939
2,0.143168290994,0.14084002008,1.4795,1.16255,1.40818,1.23325,0.952391140058,0.815685719614,1.05000484018,1.00001530681,1.50468986417,1.22735403465
3,0.143045130127,0.139744711729,1.48711,1.16559,1.4158,1.23569,0.952384105185,0.817410823035,1.05000282948,1.00000600519,1.50857948742,1.23312920043
4,0.142128550952,0.138727238971,1.49077,1.16864,1.42007,1.23813,0.952380742193,0.818925786479,1.05000965989,1.0000089792,1.51033014774,1.23684830408
5,0.141301402174,0.137410976121,1.49351,1.1726,1.42312,1.24148,0.952393462684,0.820795207648,1.05000457506,1.00001749307,1.51121297082,1.24039636419
6,0.141219704963,0.136890585353,1.49504,1.17413,1.42464,1.2427,0.952377123628,0.822208904593,1.05000612137,1.00000180966,1.51131309722,1.24261508616
7,0.141821493479,0.136890585353,1.49839,1.17657,1.42769,1.24514,0.952400339667,0.822506906235,1.05000532368,1.00002542693,1.51239995555,1.24395940843
8,0.142340836245,0.136890585353,1.50113,1.17748,1.43012,1.24605,0.952333859844,0.822487051692,1.05006308578,1.00001063156,1.51346672478,1.2448067843
9,0.143874197462,0.136389426074,1.50479,1.179,1.43317,1.24727,0.952382037096,0.822501316492,1.05000248268,1.00000350342,1.51455953956,1.24572721519
10,0.143874197462,0.137410976121,1.50814,1.17961,1.43652,1.24849,0.952407757374,0.822535780953,1.05000826101,1.00003601309,1.51537157622,1.24644734288
11,0.144786348429,0.136271712939,1.51089,1.18236,1.43866,1.25062,0.952379517081,0.822892936728,1.0500050647,1.00000331645,1.51647404075,1.24789577686
12,0.144268766775,0.135672804151,1.5121,1.18327,1.44018,1.25123,0.952370615322,0.823372202896,1.05001478688,1.00000322868,1.51662677325,1.24874832726
13,0.144682231908,0.135672804151,1.51576,1.18449,1.44353,1.25245,0.952379538596,0.823254742093,1.05000200396,1.00000042405,1.5177337882,1.24948153837
14,0.14408130889,0.135498545738,1.5179,1.18418,1.44597,1.25215,0.952377271635,0.823016603787,1.05000713898,1.00000293422,1.51823067363,1.24952905277
15,0.146325000603,0.13557563788,1.5246,1.18479,1.45176,1.25275,0.952390723182,0.821997133088,1.05000238792,1.00001253358,1.51990412132,1.24935683029
16,0.147444068613,0.135073895363,1.53009,1.18723,1.45664,1.25489,0.952383049144,0.822008046112,1.05000546696,1.00000740824,1.52139620452,1.25059992144
17,0.14551246304,0.134455022948,1.52887,1.18876,1.45633,1.25611,0.952382177983,0.822846671735,1.05001148653,1.00001222645,1.52096420088,1.25152033052
18,0.14598905934,0.13385611416,1.53191,1.18936,1.45908,1.25641,0.95238007371,0.822568403663,1.05000781542,1.00000652065,1.52150776118,1.25154421028
19,0.14682177234,0.134378678157,1.53557,1.18936,1.46243,1.25672,0.952378106949,0.822427054511,1.05001192952,1.00000837371,1.52209793124,1.25181451827
20,0.147959736336,0.134474986574,1.54167,1.18936,1.46791,1.25672,0.952258385341,0.821703180509,1.05014200654,1.00000653152,1.52341132013,1.25179192697
21,0.148648513013,0.134358728829,1.54593,1.19028,1.47188,1.25763,0.952376007647,0.821764832485,1.05001133166,1.00000560003,1.52392064485,1.25230439343
22,0.148668587086,0.133760248968,1.54807,1.19058,1.47401,1.25763,0.952383995286,0.821736857397,1.0500067414,1.00000961545,1.52426216016,1.25254239734
23,0.148561524852,0.133760248968,1.54959,1.1854,1.47553,1.25245,0.952386572003,0.818203952783,1.05000420185,1.00000990239,1.524232362,1.24713294355
24,0.148046290813,0.134455022948,1.54593,1.18815,1.47218,1.2555,0.952381400124,0.823085937712,1.05000594754,1.00000613446,1.52073568393,1.25169615642
25,0.148153058683,0.134860624087,1.55233,1.18632,1.47858,1.25397,0.952384410608,0.821692916478,1.05000818729,1.00001142858,1.52250604086,1.25103242907
26,0.150515401833,0.134455022948,1.56209,1.18754,1.48711,1.25489,0.952389158566,0.820840496864,1.05000364811,1.00001209092,1.52483310639,1.25164476469
27,0.151938838486,0.13495720869,1.56483,1.18693,1.48925,1.25458,0.952390292542,0.820469049285,1.05000067589,1.00001045088,1.52526614273,1.25143366203
28,0.154882723043,0.13495720869,1.57336,1.18815,1.49626,1.2558,0.952377859709,0.819774071667,1.05001426565,1.00001033898,1.52789405008,1.25252792651
29,0.154280066533,0.134860624087,1.57001,1.18815,1.49321,1.2558,0.95238042549,0.820423903286,1.0500136479,1.00001244476,1.52679654486,1.25262038086
30,0.150386950015,0.133664520991,1.56483,1.18936,1.48986,1.25641,0.952368976017,0.821936840545,1.05001763765,1.00000422237,1.52496244211,1.25342281162
31,0.149378460253,0.133760248968,1.56178,1.18845,1.48742,1.2555,0.952381673794,0.822462876023,1.0500005338,1.00000126586,1.52368112255,1.25317115819
32,0.149677372798,0.134358728829,1.56361,1.18693,1.48894,1.25428,0.952269391815,0.822398172386,1.05013533873,1.00001174033,1.52339187991,1.25283469786
33,0.150386950015,0.134166553782,1.56544,1.18571,1.49047,1.25306,0.95237566968,0.822296098135,1.05000851644,1.00000256401,1.52319370264,1.25251623838
34,0.152212375179,0.133760248968,1.57214,1.18601,1.49626,1.25306,0.952386095829,0.822225660113,1.05001186722,1.00001670279,1.52355575413,1.25270663566
35,0.1497851615,0.133141819778,1.56757,1.18632,1.4929,1.25306,0.952371589529,0.823232699118,1.05001052154,1.00000018942,1.52234951068,1.25324789668
36,0.148648513013,0.13385611416,1.56391,1.1854,1.48986,1.25245,0.952382704611,0.823682495148,1.05000588944,1.00000744884,1.52106617132,1.25287557928
37,0.149873031486,0.134262572539,1.56513,1.18327,1.49047,1.25062,0.952387223363,0.823537525232,1.05000193985,1.00000843202,1.52078030581,1.25241964947
38,0.154168883179,0.135902075657,1.58037,1.17839,1.50357,1.24666,0.952391078569,0.819934437686,1.05000165127,1.00001220515,1.52363074538,1.24927731845
39,0.158673359642,0.134860624087,1.59256,1.18114,1.51363,1.24879,0.952381447123,0.818553862152,1.05000479908,1.00000509003,1.52700960171,1.24993960702
40,0.154882723043,0.133568929935,1.58189,1.18205,1.50479,1.2491,0.952372945693,0.821602465729,1.05000947383,1.0000006156,1.52395841352,1.25208799022
41,0.151610586664,0.134358728829,1.57519,1.18175,1.49961,1.2491,0.952358934832,0.822483026122,1.05002529409,1.00000097062,1.52259031665,1.25230469118
42,0.151097549959,0.133760248968,1.57549,1.18144,1.50022,1.24849,0.95238229207,0.822952021466,1.05001212277,1.00001295218,1.52150718753,1.25212741565
43,0.151610586664,0.133740299639,1.57519,1.18114,1.49961,1.24818,0.952387753161,0.823261545067,1.0500084311,1.0000151705,1.52092751287,1.25212113418
44,0.151008798148,0.13354900914,1.57458,1.18053,1.4993,1.24757,0.952371815506,0.823385593225,1.050011866,1.00000170713,1.52047780584,1.25193952014
45,0.151610586664,0.134977158019,1.5761,1.17961,1.50052,1.24727,0.952374874299,0.823360250611,1.05000888049,1.00000207557,1.52019655797,1.25166941895
46,0.150603861823,0.134358728829,1.57367,1.17961,1.4987,1.24696,0.952380931789,0.823401450101,1.05001655914,1.00001574899,1.51983250601,1.25143228936
